ID,5S.cov
9531ac98-fef6-4d7a-a444-ba83b7eb0f92_gdc_realn_rehead,36.7719
95f6c93a54de9ba213b74318ef230a9c,31.9054
975e9b3660d3ea88f5de0d650d5daefd,78.9978
9910c730-39be-4cf1-9007-1b3a9712a4f2_gdc_realn_rehead,57.8201
9aaecc75-33ae-42e7-8cc9-806afd9f067a_gdc_realn_rehead,8.22989
9b219189-feb7-42a2-81fd-c35fef0bb8db_gdc_realn_rehead,59.3055
9ca830f3-ac0a-49a9-892d-878b1d593743_gdc_realn_rehead,51.5
9e6c829af95ef7aefb62645075b5d01f,266.052
9fa6f4a57f818650b2a9b134804eac67,62.3541
9fd2752a-dc0e-4ac4-9149-39206980cba9_gdc_realn_rehead,110.05
a00aa459-e740-486f-a288-cf7e4ef3e241_gdc_realn_rehead,201.832
a139f37f-a62c-4722-9dc7-a15df478d791_gdc_realn_rehead,69.2542
a3736f9a-6f21-4b60-82c9-fef598683885_gdc_realn_rehead,100.298
a4c45d2b-9067-4218-8428-1b7be3977ee1_gdc_realn_rehead,108.517
a50cdac5-77de-4120-bf4e-fa45415e389d_gdc_realn_rehead,64.6335
aa44b29e-8a79-43ae-b8c4-8b7ffa8e07cc_gdc_realn_rehead,26.6141
abe71233-5615-42a4-b2fd-8988f22c3ac9_gdc_realn_rehead,115.421
ac92ae82-c416-4812-93e1-9f3def081381_gdc_realn_rehead,23.481
ad779f07-1d5e-4720-be52-4d031146349f_gdc_realn_rehead,36.851
afbbc370-5970-43d3-b9f8-f40f8e649bb6_gdc_realn_rehead,101.04
b01d1831ce6dc27633173eeaffe449b2,47.9885
b0363f34-ad46-42b2-be94-eec3be39160b_gdc_realn_rehead,108.756
b04cbefe-48d2-40ca-9230-18566adbe9ee_gdc_realn_rehead,87.7781
b08c0135b078944c9f4556b3ebf17e3b,235.821
b1f4f89a47c188cbfbf80e23d8644acf,156.786
b62181ac-22b7-452d-8055-313a8fd9b740_gdc_realn_rehead,73.6105
b9e8308b-72b2-42e0-91cd-06dd2d026ba3_gdc_realn_rehead,71.046
bc515e19f91861bda91eea2c2d89a8d0,43.5805
bd151a41-d4db-4044-9e5d-6c7df9282353_gdc_realn_rehead,55.2639
be086d64-2023-4de5-b300-798b05b296fc_gdc_realn_rehead,34.3307
c15f22bb44b88cad95b838662efda724,45.7073
c292261b-d8e9-4245-936a-884d0c5f2544_gdc_realn_rehead,127.475
c2b6665c221630e70c7bd47b32d5d7f9,30.6485
C347.TCGA-05-4244-01A-01D-1105-08.5,15.6693
C347.TCGA-05-4420-01A-01D-1265-08.3,10.4819
C347.TCGA-05-4430-01A-02D-1265-08.3,14.5495
C347.TCGA-17-Z004-01A-01W-0746-08.1,66.588
C347.TCGA-17-Z006-01A-01W-0746-08.3,107.402
C347.TCGA-17-Z014-01A-01W-0746-08.1,7.06322
C347.TCGA-18-3407-01A-01D-0983-08.16,272.656
C347.TCGA-18-3408-01A-01D-0983-08.16,683.411
C347.TCGA-18-3409-01A-01D-0983-08.17,152.812
C347.TCGA-18-3412-01A-01D-0983-08.17,222.64
C347.TCGA-33-4582-01A-01D-1441-08.2,5.34218
C347.TCGA-34-5240-01A-01D-1441-08.2,23.0323
C347.TCGA-37-4129-01A-01D-1352-08.1,12.1149
C347.TCGA-37-4132-01A-01D-1352-08.3,10.9788
C347.TCGA-37-4135-01A-01D-1352-08.1,17.2803
C347.TCGA-39-5028-01A-01D-1441-08.2,14.0924
C347.TCGA-44-2666-01A-21D-A27T-08.2,35.9987
C347.TCGA-44-3398-01A-01D-1105-08.5,20.2184
C347.TCGA-44-4112-01A-01D-A271-08.5,20.4894
C347.TCGA-44-4112-01A-22D-A27T-08.2,78.8453
C347.TCGA-46-3766-01A-01D-0983-08.18,252.572
C347.TCGA-46-3769-01A-01D-0983-08.17,184.739
C347.TCGA-49-4505-01A-01D-1931-08.1,43.2418
C347.TCGA-55-1592-01A-01D-0969-08.1,36.7423
C347.TCGA-55-1595-01A-01D-0969-08.1,157.936
C347.TCGA-60-2725-01A-01D-1267-08.1,7.95756
C347.TCGA-64-1676-01A-01D-0969-08.1,113.087
C347.TCGA-64-1680-01A-02D-0969-08.1,29.9907
C347.TCGA-66-2754-01A-01D-0983-08.17,260.686
C347.TCGA-66-2787-01A-01D-0983-08.19,227.872
C347.TCGA-73-4658-01A-01D-1753-08.1,5.38064
C347.TCGA-73-4662-01A-01D-1265-08.3,6.73475
C347.TCGA-73-4677-01A-01D-1265-08.5,16.0508
c4b527da-7ddc-4bea-a3f0-45379f159c59_gdc_realn_rehead,59.6538
c4c56341-9436-4ebe-a008-f822256db2d6_gdc_realn_rehead,44.8802
C508.TCGA-21-1082-01A-01D-1521-08.3,7.38462
C508.TCGA-21-5782-01A-01D-1632-08.1,6.70071
C508.TCGA-22-5471-01A-01D-1632-08.1,4.04244
C508.TCGA-22-5474-01A-01D-1632-08.1,14.3625
C508.TCGA-22-5480-01A-01D-1632-08.1,8.10566
C508.TCGA-22-5492-01A-01D-1632-08.1,7.65164
C508.TCGA-33-6738-01A-11D-1945-08.5,11.3342
C508.TCGA-33-A5GW-01A-11D-A27K-08.3,21.2241
C508.TCGA-33-AASJ-01A-11D-A401-08.1,15.6428
C508.TCGA-33-AASL-01A-11D-A401-08.1,7.11229
C508.TCGA-34-2600-01A-01D-1522-08.5,9.91114
C508.TCGA-34-2608-01A-02D-1522-08.5,8.0725
C508.TCGA-34-5236-01A-21D-1817-08.2,12.7104
C508.TCGA-34-5239-01A-21D-1817-08.2,7.0725
C508.TCGA-34-5928-01A-11D-1817-08.2,13.8873
C508.TCGA-34-8454-01A-11D-2323-08.2,4.80637
C508.TCGA-34-A5IX-01A-12D-A27K-08.3,10.7259
C508.TCGA-39-5019-01A-01D-1817-08.2,12.5305
C508.TCGA-43-2578-01A-01D-1522-08.5,10.0809
C508.TCGA-43-6771-01A-11D-1817-08.2,9.31874
C508.TCGA-43-A474-01A-11D-A24D-08.1,12.847
C508.TCGA-51-4079-01A-01D-1458-08.6,316.972
C508.TCGA-56-8304-01A-11D-2323-08.5,8.40937
C508.TCGA-56-8308-01A-11D-2293-08.2,12.0438
C508.TCGA-56-8623-01A-11D-2395-08.1,9.74713
C508.TCGA-56-8626-01A-11D-2395-08.2,8.55305
C508.TCGA-56-A5DR-01A-11D-A27K-08.3,13.9337
C508.TCGA-60-2713-01A-01D-1522-08.5,5.99293
C508.TCGA-63-A5MB-01A-11D-A26M-08.3,57.5155
C508.TCGA-66-2780-01A-01D-1522-08.5,5.72325
C508.TCGA-77-8145-01A-11D-2244-08.1,119.151
