ID,n.reads
C347.TCGA-44-2666-01A-21D-A27T-08.2,111750520
C347.TCGA-44-3398-01A-01D-1105-08.5,178062973
C347.TCGA-44-4112-01A-01D-A271-08.5,68570466
C347.TCGA-44-4112-01A-22D-A27T-08.2,119542672
C347.TCGA-46-3766-01A-01D-0983-08.18,176855598
C347.TCGA-46-3769-01A-01D-0983-08.17,179512594
C347.TCGA-49-4505-01A-01D-1931-08.1,183531768
C347.TCGA-55-1592-01A-01D-0969-08.1,201514066
C347.TCGA-55-1595-01A-01D-0969-08.1,188796810
C347.TCGA-60-2725-01A-01D-1267-08.1,372478012
C347.TCGA-64-1676-01A-01D-0969-08.1,190417312
C347.TCGA-64-1680-01A-02D-0969-08.1,234578218
C347.TCGA-66-2754-01A-01D-0983-08.17,166749254
C347.TCGA-66-2787-01A-01D-0983-08.19,161445125
C347.TCGA-73-4658-01A-01D-1753-08.1,85927094
C347.TCGA-73-4662-01A-01D-1265-08.3,123037327
C347.TCGA-73-4677-01A-01D-1265-08.5,170339261
c4b527da-7ddc-4bea-a3f0-45379f159c59_gdc_realn_rehead,147023271
C508.TCGA-21-1082-01A-01D-1521-08.3,198079240
C508.TCGA-21-5782-01A-01D-1632-08.1,91475330
C508.TCGA-22-5471-01A-01D-1632-08.1,89850992
C508.TCGA-22-5474-01A-01D-1632-08.1,99687642
C508.TCGA-22-5480-01A-01D-1632-08.1,83578358
C508.TCGA-22-5492-01A-01D-1632-08.1,78672404
C508.TCGA-33-6738-01A-11D-1945-08.5,85598184
C508.TCGA-33-A5GW-01A-11D-A27K-08.3,97387822
C508.TCGA-33-AASJ-01A-11D-A401-08.1,92658424
C508.TCGA-33-AASL-01A-11D-A401-08.1,84906110
C508.TCGA-34-2600-01A-01D-1522-08.5,206322578
C508.TCGA-34-2608-01A-02D-1522-08.5,215711638
C508.TCGA-34-5236-01A-21D-1817-08.2,115400714
C508.TCGA-34-5239-01A-21D-1817-08.2,128256865
C508.TCGA-34-5928-01A-11D-1817-08.2,137329743
C508.TCGA-34-8454-01A-11D-2323-08.2,113367516
C508.TCGA-34-A5IX-01A-12D-A27K-08.3,92171526
C508.TCGA-39-5019-01A-01D-1817-08.2,128764827
C508.TCGA-43-2578-01A-01D-1522-08.5,210554510
C508.TCGA-43-6771-01A-11D-1817-08.2,120046773
C508.TCGA-43-A474-01A-11D-A24D-08.1,79963520
C508.TCGA-51-4079-01A-01D-1458-08.6,210205030
C508.TCGA-56-8304-01A-11D-2323-08.5,96088616
C508.TCGA-56-8308-01A-11D-2293-08.2,96589410
C508.TCGA-56-8623-01A-11D-2395-08.1,101294450
C508.TCGA-56-8626-01A-11D-2395-08.2,121825624
C508.TCGA-56-A5DR-01A-11D-A27K-08.3,88412166
C508.TCGA-60-2713-01A-01D-1522-08.5,193121214
C508.TCGA-63-A5MB-01A-11D-A26M-08.3,79828236
C508.TCGA-66-2780-01A-01D-1522-08.5,208994368
C508.TCGA-77-8145-01A-11D-2244-08.1,93643698
C508.TCGA-77-8153-01A-11D-2395-08.1,125918026
C508.TCGA-85-8070-01A-11D-2244-08.1,99343418
C508.TCGA-85-8582-01A-21D-2395-08.1,106948208
C508.TCGA-85-A4CN-01A-11D-A24D-08.1,65601284
C508.TCGA-94-A4VJ-01A-11D-A257-08.1,114504668
C508.TCGA-98-8023-01A-11D-2244-08.1,103699652
C508.TCGA-LA-A7SW-01A-11D-A401-08.1,85515324
C508.TCGA-LUSC-2703-TP-11D-2042-08.5,76864384
C508.TCGA-LUSC-4609-TP-21D-2122-08.3,88039464
C508.TCGA-LUSC-6867-TP-11D-2042-08.10,81282806
C508.TCGA-LUSC-7696-TP-11D-2122-08.4,92896144
C508.TCGA-LUSC-7710-TP-11D-2122-08.3,79214264
C508.TCGA-LUSC-7809-TP-21D-2122-08.3,82177080
C508.TCGA-LUSC-7964-TP-21D-2184-08.2,83623070
C508.TCGA-NC-A5HE-01A-11D-A26M-08.3,68450486
C508.TCGA-NC-A5HN-01A-11D-A26M-08.3,71312732
C508.TCGA-NK-A5D1-01A-11D-A26M-08.5,61156688
C509.TCGA-05-5423-01A-01D-1625-08.1,89695850
C509.TCGA-44-5643-01A-01D-1625-08.1,91437098
C509.TCGA-44-6778-01A-11D-1855-08.2,115853772
C509.TCGA-44-7667-01A-31D-2063-08.1,87155476
C509.TCGA-44-7669-01A-21D-2063-08.3,86332248
C509.TCGA-44-A4SS-01A-11D-A24P-08.3,98289672
C509.TCGA-49-4487-01A-21D-1855-08.2,111371538
C509.TCGA-53-7624-01A-11D-2063-08.1,95126320
C509.TCGA-55-6968-01A-11D-1945-08.3,79418014
C509.TCGA-55-6978-01A-11D-1945-08.3,91212584
C509.TCGA-55-7994-01A-11D-2184-08.1,110469466
C509.TCGA-55-8085-01A-11D-2238-08.1,122002978
C509.TCGA-55-8090-01A-11D-2238-08.1,114268608
C509.TCGA-55-8299-01A-11D-2284-08.5,178946782
C509.TCGA-62-8395-01A-11D-2323-08.6,96375088
C509.TCGA-69-7973-01A-11D-2184-08.1,92231560
C509.TCGA-78-7155-01A-11D-2036-08.1,77933894
C509.TCGA-80-5608-01A-31D-1945-08.5,146516650
C509.TCGA-86-7711-01A-11D-2063-08.1,86989036
C509.TCGA-86-8672-01A-21D-2393-08.2,117307648
C509.TCGA-86-A456-01A-11D-A24D-08.2,72204352
C509.TCGA-91-A4BD-01A-11D-A24D-08.1,72656518
C509.TCGA-95-7039-01A-11D-1945-08.3,61678174
C509.TCGA-95-7947-01A-11D-2184-08.1,112354758
C509.TCGA-95-A4VP-01A-21D-A25L-08.4,103951472
C509.TCGA-97-A4M6-01A-11D-A24P-08.3,82880046
C509.TCGA-MP-A4TJ-01A-51D-A25L-08.2,115196886
C529.TCGA-2A-AAYF-01A-11D-A41K-08.1,92205370
C529.TCGA-CH-5750-01A-11D-1576-08.4,241489448
C529.TCGA-CH-5792-01A-11D-1576-08.8,176593720
C529.TCGA-EJ-5508-01A-02D-1576-08.4,225456922
C529.TCGA-EJ-5517-01A-01D-1576-08.4,242904170
C529.TCGA-EJ-5518-01A-01D-1576-08.8,168658848
C529.TCGA-EJ-5530-01A-01D-1576-08.9,183759450
C529.TCGA-EJ-7312-01B-21D-A32B-08.4,217123718
C529.TCGA-EJ-7315-01A-31D-2114-08.1,102055812
C529.TCGA-EJ-7331-01A-11D-2114-08.1,105100650
C529.TCGA-EJ-7788-01A-11D-2114-08.1,106330242
C529.TCGA-EJ-8470-01A-11D-2395-08.2,169171622
C529.TCGA-G9-6347-01A-11D-A31L-08.3,97180398
C529.TCGA-G9-6361-01A-21D-1961-08.2,127144682
C529.TCGA-HC-7080-01A-11D-1961-08.2,128604606
C529.TCGA-HC-7211-01A-11D-2114-08.2,132654358
C529.TCGA-HC-7740-01A-11D-2114-08.1,124922786
C529.TCGA-HC-7744-01A-11D-2114-08.1,121262618
C529.TCGA-HC-7748-01A-11D-2114-08.2,105071640
C529.TCGA-HC-A632-01A-11D-A29Q-08.2,111657550
C529.TCGA-HC-A6AQ-01A-11D-A30E-08.1,68116746
C529.TCGA-HC-A76X-01A-11D-A33T-08.1,60285520
C529.TCGA-J4-A83I-01A-11D-A364-08.1,84059044
C529.TCGA-J4-A83N-01A-11D-A34U-08.1,60070922
C529.TCGA-J9-A52C-01A-11D-A26M-08.4,58806768
C529.TCGA-J9-A52E-01A-11D-A26M-08.4,53600154
C529.TCGA-KK-A59X-01A-11D-A29Q-08.2,130726846
C529.TCGA-KK-A59Y-01A-11D-A26M-08.3,55613612
C529.TCGA-KK-A6E0-01A-11D-A30X-08.1,67697746
C529.TCGA-KK-A7AQ-01A-11D-A33T-08.1,67258310
C529.TCGA-KK-A7B2-01A-12D-A32B-08.2,114029444
C529.TCGA-KK-A8I4-01A-11D-A364-08.1,78992442
C529.TCGA-KK-A8I6-01A-11D-A364-08.1,76755960
C529.TCGA-KK-A8IH-01A-11D-A364-08.1,55815014
C529.TCGA-KK-A8II-01A-11D-A364-08.1,56409884
C529.TCGA-QU-A6IL-01A-11D-A31L-08.3,104539786
C529.TCGA-V1-A8MM-01A-11D-A377-08.1,62494722
C529.TCGA-V1-A8WS-01A-11D-A377-08.3,66384092
C529.TCGA-V1-A8WW-01A-11D-A377-08.1,65811410
C529.TCGA-V1-A9ZK-01A-11D-A41K-08.1,91857002
C529.TCGA-VN-A88R-01A-11D-A364-08.1,51214656
C529.TCGA-VP-A876-01A-11D-A34U-08.2,74123610
C529.TCGA-VP-A879-01A-11D-A34U-08.1,93047106
C529.TCGA-XK-AAJA-01A-11D-A41K-08.1,96777424
C529.TCGA-XK-AAJU-01A-11D-A41K-08.2,77962980
C529.TCGA-YL-A8S9-01A-11D-A377-08.1,76661440
C529.TCGA-YL-A8SB-01A-31D-A377-08.1,83625880
C529.TCGA-YL-A9WI-01A-11D-A377-08.1,67343300
c61f5b76-f540-45c1-9d26-535c43bc821e_gdc_realn_rehead,176847116
c662eb1e-d0f9-4e36-b07a-1464ba06ff99_gdc_realn_rehead,210066821
C662.TCGA-44-6146-01A-21D-A27T-08.2,108481550
C662.TCGA-44-6147-01A-21D-A27T-08.2,116738388
C662.TCGA-44-6148-01A-11D-1753-08.4,81071612
C662.TCGA-50-5931-01A-11D-1753-08.4,83346040
C662.TCGA-50-5946-01A-11D-1753-08.4,93030080
C662.TCGA-50-6592-01A-11D-1753-08.4,96999272
C662.TCGA-55-6543-01A-11D-1753-08.4,102345974
C662.TCGA-75-5126-01A-01D-1753-08.4,93557786
c79fd4ee-51a2-4566-b6fd-7c883e5f09d6_gdc_realn_rehead,140554803
C828.TCGA-BF-A1Q0-01A-21D-A19A-08.2,99183032
C828.TCGA-BF-A3DM-01A-11D-A20D-08.1,101299210
C828.TCGA-BF-A9VF-01A-11D-A372-08.2,76777818
C828.TCGA-BF-AAP8-01A-11D-A401-08.1,79042522
C828.TCGA-D3-A5GT-01A-12D-A30X-08.1,83102518
C828.TCGA-D9-A3Z4-01A-11D-A23B-08.1,112430450
C828.TCGA-EB-A24C-01A-11D-A197-08.2,92241188
C828.TCGA-EB-A3XE-01A-12D-A23B-08.1,87918636
C828.TCGA-EB-A3XF-01A-31D-A23B-08.1,90223880
C828.TCGA-EB-A42Y-01A-12D-A24R-08.3,86844354
C828.TCGA-EB-A430-01A-11D-A24R-08.3,96218014
C828.TCGA-EB-A431-01A-11D-A25O-08.2,64308338
C828.TCGA-EB-A44N-01A-11D-A25O-08.3,50289544
C828.TCGA-EB-A44O-01A-11D-A25O-08.2,50408490
C828.TCGA-EB-A44O-01A-11D-A25O-08.3,53150476
C828.TCGA-EB-A4IS-01A-21D-A25O-08.3,64266302
C828.TCGA-EB-A4OY-01A-11D-A25O-08.2,60138468
C828.TCGA-EB-A4OY-01A-11D-A25O-08.3,62990798
C828.TCGA-EB-A551-01A-21D-A27K-08.3,71547054
C828.TCGA-EB-A6QY-01A-12D-A32N-08.3,237260800
C828.TCGA-EB-A82C-01A-11D-A34U-08.1,91190124
C828.TCGA-EB-A85J-01A-12D-A34U-08.1,91436004
C828.TCGA-ER-A194-01A-11D-A197-08.1,74955422
C828.TCGA-ER-A19T-01A-11D-A19A-08.3,100130600
C828.TCGA-ER-A2NB-01A-12D-A196-08.1,89935028
C828.TCGA-FR-A3R1-01A-11D-A23B-08.2,244470432
C828.TCGA-FR-A728-01A-11D-A32N-08.3,201307408
C828.TCGA-GF-A769-01A-32D-A32N-08.3,215327932
C828.TCGA-GN-A269-01A-11D-A19A-08.1,86725378
C828.TCGA-GN-A269-01A-11D-A19A-08.2,86725378
C828.TCGA-GN-A4U5-01A-11D-A32N-08.3,211141426
C828.TCGA-WE-A8K4-01A-12D-A372-08.1,66458612
C828.TCGA-XV-AAZW-01A-12D-A401-08.1,69494258
c89b1802-f617-46a0-8e28-af4e42e060f9_gdc_realn_rehead,214150901
c92b3b05-9cdf-4dba-8f8e-e12e82b8e9ec_gdc_realn_rehead,284896769
c9c65605-30a5-4fad-8193-b35621936764_gdc_realn_rehead,215718759
cc68e6a2-0865-4656-80fb-2594a64ffba9_gdc_realn_rehead,147953150
cdceb01f-0ea0-46a3-a1da-9bd84479235c_gdc_realn_rehead,135810000
d1731e80-53bc-4225-9097-8d7e32aa173a_gdc_realn_rehead,165434443
d1986fd8-b966-4ace-ab1a-581a18ecbdbe_gdc_realn_rehead,154197265
d1ada222-b67f-47c0-b380-091eaab093b4_gdc_realn_rehead,119528740
dbaa4e7f-79fc-43ed-8258-f1f50110495d_gdc_realn_rehead,188563391
dcc908fd-afb3-48a7-9f48-d98355d50030_gdc_realn_rehead,173282654
