ID,cov.rDNA,cov.5S
aa44b29e-8a79-43ae-b8c4-8b7ffa8e07cc_gdc_realn_rehead.rDNA.pileup.gz,5.57841,0.064814
abe71233-5615-42a4-b2fd-8988f22c3ac9_gdc_realn_rehead.rDNA.pileup.gz,28.4651,0.271977
ac92ae82-c416-4812-93e1-9f3def081381_gdc_realn_rehead.rDNA.pileup.gz,11.1138,0.069093
ad779f07-1d5e-4720-be52-4d031146349f_gdc_realn_rehead.rDNA.pileup.gz,11.388,0.0924186
afbbc370-5970-43d3-b9f8-f40f8e649bb6_gdc_realn_rehead.rDNA.pileup.gz,21.8607,0.225953
b01d1831ce6dc27633173eeaffe449b2.rDNA.pileup.gz,54.2688,0.170209
b0363f34-ad46-42b2-be94-eec3be39160b_gdc_realn_rehead.rDNA.pileup.gz,21.1308,0.252907
b04cbefe-48d2-40ca-9230-18566adbe9ee_gdc_realn_rehead.rDNA.pileup.gz,16.3038,0.205023
b08c0135b078944c9f4556b3ebf17e3b.rDNA.pileup.gz,362.968,0.823605
b1f4f89a47c188cbfbf80e23d8644acf.rDNA.pileup.gz,617.432,0.50307
b62181ac-22b7-452d-8055-313a8fd9b740_gdc_realn_rehead.rDNA.pileup.gz,16.3602,0.179605
b9e8308b-72b2-42e0-91cd-06dd2d026ba3_gdc_realn_rehead.rDNA.pileup.gz,19.5874,0.17693
bd151a41-d4db-4044-9e5d-6c7df9282353_gdc_realn_rehead.rDNA.pileup.gz,23.4041,0.151047
be086d64-2023-4de5-b300-798b05b296fc_gdc_realn_rehead.rDNA.pileup.gz,9.84812,0.0901628
c292261b-d8e9-4245-936a-884d0c5f2544_gdc_realn_rehead.rDNA.pileup.gz,51.1116,0.315116
c2b6665c221630e70c7bd47b32d5d7f9.rDNA.pileup.gz,313.673,0.108349
C347.TCGA-05-4244-01A-01D-1105-08.5.rDNA.pileup.gz,178.501,0.0286977
C347.TCGA-05-4420-01A-01D-1265-08.3.rDNA.pileup.gz,83.2159,0.0190233
C347.TCGA-05-4430-01A-02D-1265-08.3.rDNA.pileup.gz,75.9588,0.0283721
C347.TCGA-17-Z004-01A-01W-0746-08.1.rDNA.pileup.gz,90.0291,0.180395
C347.TCGA-17-Z006-01A-01W-0746-08.3.rDNA.pileup.gz,190.158,0.268837
C347.TCGA-17-Z014-01A-01W-0746-08.1.rDNA.pileup.gz,1.99642,0.0215349
C347.TCGA-18-3407-01A-01D-0983-08.16.rDNA.pileup.gz,533.903,0.601791
C347.TCGA-18-3408-01A-01D-0983-08.16.rDNA.pileup.gz,494.513,1.58135
C347.TCGA-18-3409-01A-01D-0983-08.17.rDNA.pileup.gz,285.074,0.32
C347.TCGA-18-3412-01A-01D-0983-08.17.rDNA.pileup.gz,225.956,0.469884
C347.TCGA-33-4582-01A-01D-1441-08.2.rDNA.pileup.gz,62.4323,0.00944186
C347.TCGA-34-5240-01A-01D-1441-08.2.rDNA.pileup.gz,79.8136,0.040186
C347.TCGA-37-4129-01A-01D-1352-08.1.rDNA.pileup.gz,223.25,0.0240233
C347.TCGA-37-4132-01A-01D-1352-08.3.rDNA.pileup.gz,170.371,0.0215349
C347.TCGA-37-4135-01A-01D-1352-08.1.rDNA.pileup.gz,93.5672,0.0400698
C347.TCGA-39-5028-01A-01D-1441-08.2.rDNA.pileup.gz,129.747,0.0337209
C347.TCGA-44-2666-01A-21D-A27T-08.2.rDNA.pileup.gz,74.3356,0.0814651
C347.TCGA-44-3398-01A-01D-1105-08.5.rDNA.pileup.gz,108.704,0.0326279
C347.TCGA-44-4112-01A-01D-A271-08.5.rDNA.pileup.gz,34.2603,0.0280465
C347.TCGA-44-4112-01A-22D-A27T-08.2.rDNA.pileup.gz,80.4677,0.160186
C347.TCGA-46-3766-01A-01D-0983-08.18.rDNA.pileup.gz,370.297,0.559744
C347.TCGA-46-3769-01A-01D-0983-08.17.rDNA.pileup.gz,132.884,0.427047
C347.TCGA-49-4505-01A-01D-1931-08.1.rDNA.pileup.gz,80.4091,0.112279
C347.TCGA-55-1592-01A-01D-0969-08.1.rDNA.pileup.gz,52.8513,0.0775814
C347.TCGA-55-1595-01A-01D-0969-08.1.rDNA.pileup.gz,92.2711,0.341302
C347.TCGA-60-2725-01A-01D-1267-08.1.rDNA.pileup.gz,220.137,0.017814
C347.TCGA-64-1676-01A-01D-0969-08.1.rDNA.pileup.gz,169.991,0.256442
C347.TCGA-64-1680-01A-02D-0969-08.1.rDNA.pileup.gz,87.3499,0.065186
C347.TCGA-66-2754-01A-01D-0983-08.17.rDNA.pileup.gz,120.732,0.59493
C347.TCGA-66-2787-01A-01D-0983-08.19.rDNA.pileup.gz,254.978,0.512326
C347.TCGA-73-4658-01A-01D-1753-08.1.rDNA.pileup.gz,50.8333,0.0123721
C347.TCGA-73-4662-01A-01D-1265-08.3.rDNA.pileup.gz,88.241,0.0156279
C347.TCGA-73-4677-01A-01D-1265-08.5.rDNA.pileup.gz,144.219,0.0352093
