ID,nIGH2,nIGK2,nIGL2,nTCRA2,nTCRB2,nTCRD2,nTCRG2,loadIGH2,loadIGK2,loadIGL2,loadTCRA2,loadTCRB2,loadTCRD2,loadTCRG2,alphaIGH2,alphaIGK2,alphaIGL2,alphaTCRA2,alphaTCRB2,alphaTCRD2,alphaTCRG2
6bc88daf-bcd3-4343-9aa5-bb69a90d6503_gdc_realn_rehead,20,364,67,73,1,2,0,71,1496,198,228,2,5,0,2.88070243366,5.39277247122,4.02398832229,4.11576590508,-0.0,0.673011667009,0
6c5a23c8-70b3-4bb3-842d-42b048978f1e_gdc_realn_rehead,22,68,42,590,7,4,0,135,498,1051,2710,19,11,0,2.7822389813,3.37541822434,1.56758785961,4.64430900455,1.89541954762,1.28825230502,0
6ce7ac63-a45e-4f8a-9520-0d22536fcd05_gdc_realn_rehead,22,289,103,53,4,0,0,159,4691,1014,409,9,0,0,2.33669864035,4.34119271272,3.76013296938,3.08203313417,1.36892236074,0,0
6d42470b-3777-4edb-a2ec-0f2dc3089caa_gdc_realn_rehead,12,21,28,462,4,0,0,178,108,93,9469,15,0,0,0.716845214597,2.09889948001,3.20737316972,2.5220560144,1.11245658248,0,0
6dae1a17-70b1-4989-b591-ce1dec2ec802_gdc_realn_rehead,52,958,280,248,4,4,0,199,5210,1425,1547,18,12,0,3.65393115886,6.33742353388,4.95501756614,4.40852848962,1.00271826452,1.30860538725,0
6e3dbbf4-ea7c-438f-a944-55adb7c291d5_gdc_realn_rehead,108,1133,432,244,11,8,0,842,17255,7868,2200,36,91,0,4.06966806737,5.24123269345,3.2877149649,3.89959332224,2.26722227686,1.56511176155,0
7009dd2b-81da-4e36-ac29-5c17b96bfd69_gdc_realn_rehead,96,1164,413,302,1,7,1,579,7299,2201,1583,2,23,2,3.80472213428,6.41848580332,5.43239092394,5.24399883259,-0.0,1.83601155217,-0.0
703063d9-d8a1-4ec4-8bc2-ba80456c9daf_gdc_realn_rehead,21,259,55,88,2,3,0,566,46113,2552,6384,5,11,0,1.82112037438,1.3127553577,2.31087702743,1.35915861738,0.673011667009,1.03619878482,0
710df87f-9999-432b-9a4a-cdf6d698c093_gdc_realn_rehead,116,1195,553,277,2,1,0,1247,28486,11842,5468,7,3,0,3.53841331833,4.10415577033,3.92429173176,2.09970701915,0.598269588585,-0.0,0
76a0703a-0540-4ca8-baa8-128a52b0846d_gdc_realn_rehead,100,1603,733,345,12,14,0,585,17045,6310,2638,39,63,0,3.99038467133,6.44903930791,5.75807905556,4.85595540895,2.38362072378,2.46590858166,0
78ef733f-6117-482b-9a45-93bd0366d0ee_gdc_realn_rehead,7,105,38,30,0,1,0,24,512,178,84,0,4,0,1.82846577267,4.2596321915,3.10381822752,3.3106529478,0,-0.0,0
79c6d8ea-54c0-4bc4-bf52-1477b6c9d46c_gdc_realn_rehead,0,0,1,14,0,0,0,0,0,3,52,0,0,0,0,0,-0.0,2.18500701695,0,0,0
7e643be8-5454-42aa-ab67-1c77c8c55809_gdc_realn_rehead,173,233,57,433,5,6,0,18414,61994,11689,15382,13,515,0,3.4072821795,2.27347378229,1.95891208197,1.93840340465,1.5910955636,0.191118380885,0
7f37d4d0-be8b-4f0f-a2eb-d7368e279f04_gdc_realn_rehead,149,1835,639,410,5,17,1,1240,39565,8824,4463,30,98,2,4.14286399303,5.93096074121,5.30710150282,4.76226329992,1.26347949407,2.27349925417,-0.0
7fc80880-9530-489c-84a8-5994ce745892_gdc_realn_rehead,25,431,137,99,4,1,0,109,2240,660,407,8,2,0,2.73629748206,5.44940379958,4.5884394321,4.2596239169,1.38629436112,-0.0,0
804a851a-a496-4139-b304-4fcbb4e466f8_gdc_realn_rehead,4,82,36,27,2,0,0,25,779,439,572,5,0,0,0.973172027185,3.44352166283,2.44240325049,1.03889302539,0.673011667009,0,0
861a0fcf-4794-4437-9f95-714be338f3c8_gdc_realn_rehead,3,88,31,16,1,0,0,11,722,179,548,2,0,0,1.06708951878,3.62988017645,2.5550605302,1.22108175713,-0.0,0,0
88e6af82-c26e-4a65-9cd2-97c6b78d25ee_gdc_realn_rehead,48,157,26,204,1,4,0,508,1361,136,660,3,24,0,2.80628908167,3.4992470118,2.76974946579,4.43697604727,-0.0,1.23668486914,0
8a029484-0321-4f80-a941-37bbb91d41e6_gdc_realn_rehead,3,83,25,21,2,0,0,8,817,397,101,4,0,0,1.08219553004,3.5150412768,2.21804493429,2.61028507386,0.69314718056,0,0
8ba08d5f-7688-4e6c-a244-62be20a4b644_gdc_realn_rehead,4,51,7,30,1,0,0,15,175,37,133,2,0,0,1.27002786112,3.72876049346,1.5751579349,2.78811447489,-0.0,0,0
8ca1ceb0-da28-43de-b1df-afadf5360109_gdc_realn_rehead,0,3,1,1,0,0,0,0,6,2,7,0,0,0,0,1.09861228867,-0.0,-0.0,0,0,0
90233afc-bc3f-450e-a96c-6f5b754d2749_gdc_realn_rehead,25,347,156,97,2,5,0,112,1543,831,397,4,13,0,2.73261188903,5.37177897963,4.4373990706,4.1038608625,0.69314718056,1.56495725024,0
9223f026-93b0-42ca-9069-5cb40b1a34e8_gdc_realn_rehead,0,5,1,6,0,0,0,0,15,3,21,0,0,0,0,1.43028030191,-0.0,1.70347439811,0,0,0
92a8a159-4328-4c84-9cf8-38e884b4b4fc_gdc_realn_rehead,1,14,2,13,0,0,0,2,39,6,44,0,0,0,-0.0,2.56564428225,0.636514168295,2.38066766785,0,0,0
9478d01a-af79-498e-aea6-406495acdb37_gdc_realn_rehead,0,2,0,3,1,0,0,0,4,0,6,3,0,0,0,0.69314718056,0,1.09861228867,-0.0,0,0
94d02ca0-9544-4491-8cde-f73748465eeb_gdc_realn_rehead,0,0,0,19,1,0,0,0,0,0,63,2,0,0,0,0,0,2.67917872457,-0.0,0,0
9531ac98-fef6-4d7a-a444-ba83b7eb0f92_gdc_realn_rehead,0,4,1,9,0,0,0,0,10,2,24,0,0,0,0,1.33217904021,-0.0,2.09472904753,0,0,0
9910c730-39be-4cf1-9007-1b3a9712a4f2_gdc_realn_rehead,27,62,30,399,0,0,0,208,595,527,1656,0,0,0,2.86058248883,3.45735656342,1.98395133978,4.46719207034,0,0,0
