ID,nIGH,nIGK,nIGL,nTCRA,nTCRB,nTCRD,nTCRG,loadIGH,loadIGK,loadIGL,loadTCRA,loadTCRB,loadTCRD,loadTCRG,alphaIGH,alphaIGK,alphaIGL,alphaTCRA,alphaTCRB,alphaTCRD,alphaTCRG
C509.TCGA-44-A4SS-01A-11D-A24P-08.3,0,0,0,9,4,0,2,0,0,0,32,39,0,4,0,0,0,1.83460963446,1.15330340054,0,0.69314718056
C509.TCGA-49-4487-01A-21D-1855-08.2,0,1,0,10,5,2,2,0,4,0,49,65,5,5,0,-0.0,0,1.72586331167,1.26608731692,0.673011667009,0.673011667009
C509.TCGA-53-7624-01A-11D-2063-08.1,0,0,0,5,3,0,0,0,0,0,20,33,0,0,0,0,0,1.30415387605,1.09585366061,0,0
C509.TCGA-55-6968-01A-11D-1945-08.3,0,0,0,3,4,0,0,0,0,0,25,37,0,0,0,0,0,0.703843328478,1.22641269549,0,0
C509.TCGA-55-6978-01A-11D-1945-08.3,0,0,0,4,3,0,0,0,0,0,25,48,0,0,0,0,0,0.814746877367,1.08920809136,0,0
C509.TCGA-55-7994-01A-11D-2184-08.1,1,0,1,9,5,1,0,2,0,2,65,109,2,0,-0.0,0,-0.0,1.29004558714,1.28954088482,-0.0,0
C509.TCGA-55-8085-01A-11D-2238-08.1,0,0,0,14,4,0,0,0,0,0,81,95,0,0,0,0,0,1.79169912548,1.10555600763,0,0
C509.TCGA-55-8090-01A-11D-2238-08.1,0,2,0,8,4,0,0,0,4,0,61,116,0,0,0,0.69314718056,0,1.36043817135,1.15202281756,0,0
C509.TCGA-55-8299-01A-11D-2284-08.5,0,1,0,6,4,0,0,0,2,0,63,61,0,0,0,-0.0,0,0.992632121842,1.22801328961,0,0
C509.TCGA-62-8395-01A-11D-2323-08.6,0,0,0,3,4,0,0,0,0,0,20,56,0,0,0,0,0,0.801818552543,1.21245966473,0,0
C509.TCGA-69-7973-01A-11D-2184-08.1,0,0,0,8,3,0,0,0,0,0,60,74,0,0,0,0,0,1.4581554499,1.01097073262,0,0
C509.TCGA-78-7155-01A-11D-2036-08.1,0,0,0,7,5,0,0,0,0,0,31,59,0,0,0,0,0,1.42579364598,1.31777648154,0,0
C509.TCGA-80-5608-01A-31D-1945-08.5,0,0,0,8,3,0,0,0,0,0,46,42,0,0,0,0,0,1.51929100863,1.07101854241,0,0
C509.TCGA-86-7711-01A-11D-2063-08.1,0,0,0,3,4,0,0,0,0,0,19,32,0,0,0,0,0,0.942674961564,1.22418936483,0,0
C509.TCGA-86-8672-01A-21D-2393-08.2,0,0,1,7,6,0,1,0,0,2,33,76,0,2,0,0,-0.0,1.48399594337,1.38589030541,0,-0.0
C509.TCGA-86-A456-01A-11D-A24D-08.2,0,0,0,4,3,0,0,0,0,0,16,37,0,0,0,0,0,1.15737329822,1.07675254814,0,0
C509.TCGA-91-A4BD-01A-11D-A24D-08.1,0,1,0,3,3,0,0,0,2,0,13,24,0,0,0,-0.0,0,1.09283055353,1.06352150287,0,0
C509.TCGA-95-7039-01A-11D-1945-08.3,0,0,0,2,4,0,0,0,0,0,12,57,0,0,0,0,0,0.450561208866,1.18089198144,0,0
C509.TCGA-95-7947-01A-11D-2184-08.1,0,1,0,6,4,0,0,0,2,0,40,89,0,0,0,-0.0,0,1.45057520079,1.14317090914,0,0
C509.TCGA-95-A4VP-01A-21D-A25L-08.4,0,0,0,3,3,0,1,0,0,0,37,46,0,2,0,0,0,0.709617373015,1.03545531946,0,-0.0
C509.TCGA-97-A4M6-01A-11D-A24P-08.3,0,0,0,3,3,0,0,0,0,0,18,22,0,0,0,0,0,0.683738905849,0.96667483032,0,0
