ID,cov.28S
C508.TCGA-85-8582-01A-21D-2395-08.1,33.544079602
C508.TCGA-85-A4CN-01A-11D-A24D-08.1,9.37930348259
C508.TCGA-94-A4VJ-01A-11D-A257-08.1,16.9868656716
C508.TCGA-98-8023-01A-11D-2244-08.1,50.5647761194
C508.TCGA-LA-A7SW-01A-11D-A401-08.1,21.679800995
C508.TCGA-LUSC-2703-TP-11D-2042-08.5,12.7994029851
C508.TCGA-LUSC-4609-TP-21D-2122-08.3,20.3353233831
C508.TCGA-LUSC-6867-TP-11D-2042-08.10,5.19263681592
C508.TCGA-LUSC-7696-TP-11D-2122-08.4,11.1385074627
C508.TCGA-LUSC-7710-TP-11D-2122-08.3,20.1797014925
C508.TCGA-LUSC-7809-TP-21D-2122-08.3,25.3892537313
C508.TCGA-LUSC-7964-TP-21D-2184-08.2,28.4419900498
C508.TCGA-NC-A5HE-01A-11D-A26M-08.3,12.1613930348
C508.TCGA-NK-A5D1-01A-11D-A26M-08.5,4.03004975124
C509.TCGA-05-5423-01A-01D-1625-08.1,6.76875621891
C509.TCGA-44-5643-01A-01D-1625-08.1,15.5870646766
C509.TCGA-44-6778-01A-11D-1855-08.2,10.3950248756
C509.TCGA-44-7667-01A-31D-2063-08.1,23.231641791
C509.TCGA-44-7669-01A-21D-2063-08.3,8.0760199005
C509.TCGA-44-A4SS-01A-11D-A24P-08.3,11.2075621891
C509.TCGA-49-4487-01A-21D-1855-08.2,11.7988059701
C509.TCGA-53-7624-01A-11D-2063-08.1,13.119800995
C509.TCGA-55-6968-01A-11D-1945-08.3,8.37114427861
C509.TCGA-55-6978-01A-11D-1945-08.3,9.29830845771
C509.TCGA-55-7994-01A-11D-2184-08.1,12.4005970149
C509.TCGA-55-8085-01A-11D-2238-08.1,51.0616915423
C509.TCGA-55-8090-01A-11D-2238-08.1,57.8087562189
C509.TCGA-55-8299-01A-11D-2284-08.5,22.3030845771
C509.TCGA-62-8395-01A-11D-2323-08.6,11.8133333333
C509.TCGA-69-7973-01A-11D-2184-08.1,27.8101492537
C509.TCGA-78-7155-01A-11D-2036-08.1,5.78945273632
C509.TCGA-80-5608-01A-31D-1945-08.5,363.345273632
C509.TCGA-86-7711-01A-11D-2063-08.1,18.4949253731
C509.TCGA-86-8672-01A-21D-2393-08.2,9.54766169154
C509.TCGA-86-A456-01A-11D-A24D-08.2,8.30805970149
C509.TCGA-91-A4BD-01A-11D-A24D-08.1,27.6724378109
C509.TCGA-95-7039-01A-11D-1945-08.3,2.39124378109
C509.TCGA-95-7947-01A-11D-2184-08.1,13.7633830846
C509.TCGA-95-A4VP-01A-21D-A25L-08.4,7.41910447761
C509.TCGA-97-A4M6-01A-11D-A24P-08.3,9.06248756219
C509.TCGA-MP-A4TJ-01A-51D-A25L-08.2,6.327960199
C529.TCGA-CH-5750-01A-11D-1576-08.4,39.03960199
C529.TCGA-CH-5792-01A-11D-1576-08.8,137.132935323
C529.TCGA-EJ-5508-01A-02D-1576-08.4,23.3617910448
C529.TCGA-EJ-5517-01A-01D-1576-08.4,23.7808955224
C529.TCGA-EJ-5518-01A-01D-1576-08.8,30.9976119403
C529.TCGA-EJ-5530-01A-01D-1576-08.9,21.1148258706
C529.TCGA-EJ-7312-01B-21D-A32B-08.4,587.344477612
C529.TCGA-EJ-7315-01A-31D-2114-08.1,79.6246766169
C529.TCGA-EJ-7331-01A-11D-2114-08.1,30.5002985075
C529.TCGA-EJ-7788-01A-11D-2114-08.1,28.8053731343
C529.TCGA-EJ-8470-01A-11D-2395-08.2,20.7010945274
C529.TCGA-G9-6347-01A-11D-A31L-08.3,11.296318408
C529.TCGA-G9-6361-01A-21D-1961-08.2,17.8475621891
C529.TCGA-HC-7080-01A-11D-1961-08.2,19.8505472637
C529.TCGA-HC-7211-01A-11D-2114-08.2,66.6284577114
C529.TCGA-HC-7740-01A-11D-2114-08.1,48.5685572139
C529.TCGA-HC-7744-01A-11D-2114-08.1,164.989253731
C529.TCGA-HC-7748-01A-11D-2114-08.2,46.1132338308
C529.TCGA-HC-A632-01A-11D-A29Q-08.2,20.5566169154
C529.TCGA-HC-A6AQ-01A-11D-A30E-08.1,38.0903482587
C529.TCGA-HC-A76X-01A-11D-A33T-08.1,12.6358208955
C529.TCGA-J4-A83I-01A-11D-A364-08.1,14.0328358209
C529.TCGA-J4-A83N-01A-11D-A34U-08.1,6.49333333333
C529.TCGA-J9-A52C-01A-11D-A26M-08.4,7.57830845771
C529.TCGA-KK-A59X-01A-11D-A29Q-08.2,9.32835820896
C529.TCGA-KK-A6E0-01A-11D-A30X-08.1,6.06009950249
C529.TCGA-KK-A7AQ-01A-11D-A33T-08.1,17.6228855721
C529.TCGA-KK-A7B2-01A-12D-A32B-08.2,12.6921393035
C529.TCGA-KK-A8I4-01A-11D-A364-08.1,20.9777114428
C529.TCGA-KK-A8I6-01A-11D-A364-08.1,10.9822885572
C529.TCGA-KK-A8IA-01A-11D-A364-08.2,8.71124378109
C529.TCGA-KK-A8IH-01A-11D-A364-08.1,18.9729353234
C529.TCGA-KK-A8II-01A-11D-A364-08.1,15.4754228856
C529.TCGA-V1-A8MM-01A-11D-A377-08.1,30.7020895522
C529.TCGA-V1-A8WS-01A-11D-A377-08.3,19.6776119403
C529.TCGA-V1-A8WW-01A-11D-A377-08.1,17.2855721393
C529.TCGA-VN-A88R-01A-11D-A364-08.1,18.7639800995
C529.TCGA-VP-A876-01A-11D-A34U-08.2,7.5623880597
C529.TCGA-VP-A879-01A-11D-A34U-08.1,20.4101492537
C529.TCGA-XK-AAJU-01A-11D-A41K-08.2,43.0041791045
C529.TCGA-YL-A8S9-01A-11D-A377-08.1,25.4618905473
C529.TCGA-YL-A8SB-01A-31D-A377-08.1,25.2123383085
C529.TCGA-YL-A9WI-01A-11D-A377-08.1,9.4368159204
C662.TCGA-44-6146-01A-21D-A27T-08.2,52.3223880597
C662.TCGA-44-6147-01A-21D-A27T-08.2,67.1588059701
C662.TCGA-44-6148-01A-11D-1753-08.4,4.64517412935
C662.TCGA-50-5931-01A-11D-1753-08.4,2.01611940299
C662.TCGA-50-5946-01A-11D-1753-08.4,4.96616915423
C662.TCGA-50-6592-01A-11D-1753-08.4,7.6344278607
C662.TCGA-55-6543-01A-11D-1753-08.4,18.4591044776
C662.TCGA-75-5126-01A-01D-1753-08.4,6.31502487562
C828.TCGA-BF-A1Q0-01A-21D-A19A-08.2,5.83542288557
C828.TCGA-BF-A3DM-01A-11D-A20D-08.1,45.1548258706
C828.TCGA-BF-A9VF-01A-11D-A372-08.2,11.7317412935
C828.TCGA-BF-AAP8-01A-11D-A401-08.1,31.1926368159
C828.TCGA-D3-A5GT-01A-12D-A30X-08.1,7.30348258706
C828.TCGA-D9-A3Z4-01A-11D-A23B-08.1,11.2328358209
C828.TCGA-EB-A24C-01A-11D-A197-08.2,8.93213930348
C828.TCGA-EB-A3XE-01A-12D-A23B-08.1,16.7448756219
C828.TCGA-EB-A3XF-01A-31D-A23B-08.1,27.9544278607
C828.TCGA-EB-A430-01A-11D-A24R-08.3,10.8760199005
C828.TCGA-EB-A431-01A-11D-A25O-08.2,12.8021890547
C828.TCGA-EB-A44O-01A-11D-A25O-08.2,7.5239800995
C828.TCGA-EB-A44O-01A-11D-A25O-08.3,7.97213930348
C828.TCGA-EB-A4IS-01A-21D-A25O-08.3,6.65194029851
C828.TCGA-EB-A4OY-01A-11D-A25O-08.2,8.03800995025
C828.TCGA-EB-A4OY-01A-11D-A25O-08.3,8.29014925373
C828.TCGA-EB-A551-01A-21D-A27K-08.3,7.20656716418
C828.TCGA-EB-A6QY-01A-12D-A32N-08.3,451.079800995
C828.TCGA-EB-A82C-01A-11D-A34U-08.1,20.5862686567
C828.TCGA-EB-A85J-01A-12D-A34U-08.1,7.85154228856
C828.TCGA-ER-A194-01A-11D-A197-08.1,10.9753233831
C828.TCGA-ER-A19T-01A-11D-A19A-08.3,26.5066666667
C828.TCGA-ER-A2NB-01
