ID,intergenic.cov
C347.TCGA-37-4132-01A-01D-1352-08.3,16525459
C347.TCGA-37-4135-01A-01D-1352-08.1,18903293
C347.TCGA-39-5028-01A-01D-1441-08.2,12656841
C347.TCGA-44-2666-01A-21D-A27T-08.2,3466944
C347.TCGA-44-3398-01A-01D-1105-08.5,13407467
C347.TCGA-44-4112-01A-01D-A271-08.5,8498789
C347.TCGA-44-4112-01A-22D-A27T-08.2,3245000
C347.TCGA-46-3766-01A-01D-0983-08.18,4279778
C347.TCGA-46-3769-01A-01D-0983-08.17,5255438
C347.TCGA-49-4505-01A-01D-1931-08.1,4340783
C347.TCGA-55-1592-01A-01D-0969-08.1,6145952
C347.TCGA-55-1595-01A-01D-0969-08.1,2880533
C347.TCGA-60-2725-01A-01D-1267-08.1,19598358
C347.TCGA-64-1676-01A-01D-0969-08.1,3458044
C347.TCGA-64-1680-01A-02D-0969-08.1,14211975
C347.TCGA-66-2754-01A-01D-0983-08.17,4487640
C347.TCGA-66-2787-01A-01D-0983-08.19,3811653
C347.TCGA-73-4658-01A-01D-1753-08.1,9480775
C347.TCGA-73-4662-01A-01D-1265-08.3,10156851
C347.TCGA-73-4677-01A-01D-1265-08.5,10158534
C508.TCGA-21-1082-01A-01D-1521-08.3,16400792
C508.TCGA-21-5782-01A-01D-1632-08.1,9075949
C508.TCGA-22-5471-01A-01D-1632-08.1,8005142
C508.TCGA-22-5474-01A-01D-1632-08.1,7029295
C508.TCGA-22-5480-01A-01D-1632-08.1,9051794
C508.TCGA-22-5492-01A-01D-1632-08.1,7228026
C508.TCGA-33-6738-01A-11D-1945-08.5,11582637
C508.TCGA-33-A5GW-01A-11D-A27K-08.3,7404984
C508.TCGA-33-AASJ-01A-11D-A401-08.1,11188217
C508.TCGA-33-AASL-01A-11D-A401-08.1,8866822
C508.TCGA-34-2600-01A-01D-1522-08.5,12889846
C508.TCGA-34-2608-01A-02D-1522-08.5,15526744
C508.TCGA-34-5236-01A-21D-1817-08.2,12109006
C508.TCGA-34-5239-01A-21D-1817-08.2,11858469
C508.TCGA-34-5928-01A-11D-1817-08.2,13125561
C508.TCGA-34-8454-01A-11D-2323-08.2,10388693
C508.TCGA-34-A5IX-01A-12D-A27K-08.3,11809147
C508.TCGA-39-5019-01A-01D-1817-08.2,12435364
C508.TCGA-43-2578-01A-01D-1522-08.5,14715682
C508.TCGA-43-6771-01A-11D-1817-08.2,12487036
C508.TCGA-43-A474-01A-11D-A24D-08.1,7414446
C508.TCGA-51-4079-01A-01D-1458-08.6,3220844
C508.TCGA-56-8304-01A-11D-2323-08.5,10301213
C508.TCGA-56-8308-01A-11D-2293-08.2,8943883
C508.TCGA-56-8623-01A-11D-2395-08.1,11576938
C508.TCGA-56-8626-01A-11D-2395-08.2,12071389
C508.TCGA-56-A5DR-01A-11D-A27K-08.3,9726632
C508.TCGA-60-2713-01A-01D-1522-08.5,11820022
C508.TCGA-63-A5MB-01A-11D-A26M-08.3,2279407
C508.TCGA-66-2780-01A-01D-1522-08.5,14687516
C508.TCGA-77-8145-01A-11D-2244-08.1,2591994
C508.TCGA-77-8153-01A-11D-2395-08.1,12591274
C508.TCGA-85-8070-01A-11D-2244-08.1,6972158
